#  AvgAcc class
BLAST16S_10<br>V4	BLAST16S_10<br>V3-V5	BLAST16S_10<br>full-length	WITS<br>full-length	Mean	Method
98.8	99.1	99.8	99.8	99.4	Microclass
98.5	99.4	99.7	99.8	99.4	BTOP
98.1	99.2	99.8	99.8	99.2	KTOP
97.9	99.5	99.7	99.8	99.2	CT1
97.9	99.3	99.8	99.8	99.2	TOP
98.0	99.1	99.7	99.8	99.2	RDP50
97.9	99.1	99.8	99.8	99.1	NBC50
97.2	99.4	99.7	99.8	99.0	Q2_SK
97.1	99.1	99.7	99.8	98.9	SINTAX50
96.5	98.8	99.3	99.8	98.6	Q2_VS
96.1	98.7	99.1	99.8	98.4	CT2
96.1	98.4	98.9	99.5	98.3	Q2_BLAST
94.8	98.5	99.7	99.8	98.2	NBC80
94.5	98.6	99.7	99.8	98.1	RDP80
94.2	98.3	99.3	99.8	97.9	SINTAX80
96.2	97.2	98.3	99.2	97.7	BLCA
94.3	97.6	98.9	99.1	97.5	Metaxa2
93.2	95.0	93.4	98.2	94.9	Q1
90.3	94.5	95.9	98.3	94.8	KNN
