#  AvgAcc family
BLAST16S_10<br>V4	BLAST16S_10<br>V3-V5	BLAST16S_10<br>full-length	WITS<br>full-length	Mean	Method
77.8	84.4	88.9	98.1	87.3	NBC50
77.8	84.2	88.9	98.1	87.2	RDP50
75.8	83.0	87.9	98.4	86.3	Microclass
74.8	82.0	87.4	98.1	85.6	KTOP
74.3	81.6	86.8	98.2	85.2	TOP
75.0	81.7	85.7	98.1	85.1	BTOP
73.3	80.7	85.5	97.9	84.3	SINTAX50
70.6	80.9	88.5	97.2	84.3	NBC80
70.4	80.9	88.2	97.1	84.2	RDP80
71.9	80.5	85.4	97.3	83.8	CT1
70.5	79.0	84.9	97.2	82.9	BLCA
70.1	78.9	84.5	97.7	82.8	Q2_SK
73.1	78.5	82.6	96.3	82.6	Q1
64.1	72.7	78.7	95.6	77.8	Q2_VS
63.2	71.8	78.5	96.3	77.4	SINTAX80
63.2	72.0	78.7	94.6	77.1	CT2
63.2	70.5	75.5	92.9	75.5	Q2_BLAST
59.2	67.6	77.0	90.2	73.5	Metaxa2
42.4	50.1	58.7	83.3	58.6	KNN
