#  AvgAcc genus
BLAST16S_10<br>V4	BLAST16S_10<br>V3-V5	BLAST16S_10<br>full-length	WITS<br>full-length	Mean	Method
50.3	59.3	67.7	87.0	66.1	SINTAX50
49.5	57.0	65.3	86.3	64.5	RDP50
49.4	56.9	65.3	86.4	64.5	NBC50
47.3	58.4	68.4	82.5	64.1	RDP80
46.8	58.3	68.4	82.5	64.0	NBC80
47.4	56.9	63.3	84.4	63.0	BLCA
45.0	54.2	63.4	87.4	62.5	Microclass
44.2	52.6	62.7	86.7	61.5	KTOP
44.5	52.4	62.1	87.1	61.5	BTOP
44.3	52.3	62.4	87.0	61.5	TOP
42.0	48.9	58.2	80.4	57.4	SINTAX80
38.7	45.6	57.9	85.4	56.9	Q2_SK
37.7	45.7	55.4	84.0	55.7	CT1
38.3	45.1	53.8	84.5	55.4	Q1
19.2	26.7	35.9	64.5	36.6	Metaxa2
16.1	19.7	26.3	75.2	34.3	Q2_VS
16.3	19.7	26.2	72.7	33.7	CT2
16.1	19.1	23.5	69.9	32.2	Q2_BLAST
1.7	2.3	3.0	47.3	13.6	KNN
