
BLAST16S_10 fl class
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
99.8	0.0	0.2	-	99.5	99.8	KTOP
99.8	0.0	0.2	-	-	99.8	Microclass
99.8	0.0	0.2	-	99.5	99.8	TOP
99.8	0.0	0.2	-	99.6	99.8	NBC50
99.7	0.1	0.2	-	-	99.7	Q2_SK
99.7	0.0	0.3	-	-	99.7	RDP50
99.7	0.2	0.2	-	99.5	99.7	SINTAX50
99.7	0.1	0.3	-	99.4	99.7	CT1
99.7	0.0	0.3	-	-	99.7	BTOP
99.7	0.1	0.2	-	-	99.7	RDP80
99.7	0.1	0.2	-	99.5	99.7	NBC80
99.3	0.5	0.2	-	99.0	99.3	SINTAX80
99.3	0.3	0.4	-	-	99.3	Q2_VS
99.1	0.5	0.4	-	98.8	99.1	CT2
98.9	0.9	0.1	-	-	98.9	Metaxa2
98.9	0.5	0.5	-	-	98.9	Q2_BLAST
98.3	1.5	0.2	-	-	98.3	BLCA
95.9	4.0	0.1	-	-	95.9	KNN
93.4	6.4	0.2	-	-	93.4	Q1
