
BLAST16S_10 fl order
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
97.3	0.0	2.7	100.0	-	95.4	Microclass
96.8	1.0	2.2	91.2	99.1	95.1	NBC50
96.8	1.0	2.2	94.4	-	95.1	RDP50
96.8	0.0	3.2	100.0	98.9	95.0	KTOP
96.5	0.0	3.5	100.0	99.0	94.7	TOP
95.5	0.6	3.9	98.1	98.5	93.9	CT1
94.6	4.3	1.1	45.6	99.0	93.9	NBC80
94.5	4.4	1.1	50.0	-	93.7	RDP80
95.3	0.0	4.7	100.0	-	93.7	BTOP
94.3	4.4	1.4	41.9	98.6	93.6	SINTAX50
94.5	3.3	2.2	78.1	-	93.2	Q2_SK
93.3	3.8	2.9	71.9	-	92.2	BLCA
92.4	2.9	4.7	92.5	-	90.9	Q2_VS
92.4	3.2	4.4	93.1	96.3	90.9	CT2
90.6	6.7	2.7	58.1	-	89.9	Q1
90.0	4.6	5.4	80.0	-	88.9	Q2_BLAST
89.4	7.9	2.8	41.9	-	88.8	Metaxa2
88.4	11.2	0.4	2.5	97.2	88.4	SINTAX80
80.1	19.0	0.9	56.2	-	79.5	KNN
