
BLAST16S_10 fl phylum
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
99.9	0.0	0.1	-	-	99.9	Q2_SK
99.9	0.0	0.1	-	99.7	99.9	SINTAX50
99.9	0.0	0.1	-	-	99.9	Microclass
99.9	0.0	0.1	-	99.8	99.9	NBC50
99.9	0.0	0.1	-	-	99.9	RDP50
99.9	0.0	0.1	-	99.8	99.9	TOP
99.9	0.0	0.1	-	-	99.9	BTOP
99.8	0.0	0.1	-	99.7	99.8	CT1
99.8	0.0	0.2	-	99.8	99.8	KTOP
99.8	0.1	0.1	-	-	99.8	RDP80
99.8	0.1	0.1	-	99.8	99.8	NBC80
99.8	0.1	0.1	-	99.5	99.8	SINTAX80
99.8	0.1	0.2	-	-	99.8	Q2_VS
99.6	0.2	0.2	-	99.4	99.6	CT2
99.5	0.2	0.3	-	-	99.5	Q2_BLAST
99.4	0.5	0.1	-	-	99.4	Metaxa2
98.4	1.5	0.1	-	-	98.4	BLCA
98.1	1.9	0.1	-	-	98.1	KNN
93.5	6.4	0.1	-	-	93.5	Q1
