
BLAST16S_10 fl species
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
56.0	41.8	2.2	10.0	47.2	30.3	SINTAX80
67.5	25.2	7.2	25.8	45.3	27.7	SINTAX50
70.2	13.1	16.7	42.2	-	25.9	SPINGO
71.7	20.2	8.2	40.3	37.6	25.4	NBC80
69.0	19.2	11.8	40.2	-	25.2	RDP80
67.4	15.5	17.1	52.2	-	24.9	BLCA
75.6	0.0	24.4	100.0	-	24.7	Microclass
75.3	0.0	24.7	100.0	27.7	24.7	KTOP
72.2	0.0	27.8	100.0	28.3	24.7	TOP
75.0	0.0	25.0	100.0	-	24.6	BTOP
75.5	4.6	19.9	69.7	30.3	24.5	NBC50
74.5	4.0	21.6	69.0	-	24.5	RDP50
57.0	20.1	22.9	47.8	-	18.7	Q2_SK
28.7	57.4	13.9	24.9	-	9.8	Q1
28.0	58.7	13.3	23.8	20.1	9.6	CT1
18.3	80.7	1.0	10.9	-	6.8	Metaxa2
0.3	99.6	0.1	0.4	2.0	0.3	CT2
0.3	99.6	0.1	0.4	-	0.3	Q2_VS
0.2	99.7	0.0	0.1	-	0.2	Q2_BLAST
0.0	100.0	0.0	0.0	-	0.0	KNN
