
BLAST16S_10 v35 genus
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
68.3	26.9	4.8	24.2	82.0	59.3	SINTAX50
66.6	28.4	5.0	24.0	-	58.4	RDP80
66.7	28.4	5.0	24.2	78.2	58.3	NBC80
77.5	10.9	11.6	61.9	-	57.0	RDP50
77.1	11.3	11.6	61.9	81.0	56.9	NBC50
65.7	29.9	4.4	26.0	-	56.9	BLCA
81.9	0.0	18.1	100.0	-	54.2	Microclass
76.3	0.0	23.7	100.0	79.6	52.6	KTOP
75.7	0.0	24.3	100.0	-	52.4	BTOP
75.8	0.0	24.2	100.0	79.5	52.3	TOP
50.5	49.1	0.4	8.9	71.0	48.9	SINTAX80
62.8	16.3	20.9	74.1	71.6	45.7	CT1
62.8	16.4	20.7	61.8	-	45.6	Q2_SK
60.7	18.4	20.8	64.7	-	45.1	Q1
29.1	67.7	3.1	12.9	-	26.7	Metaxa2
23.4	66.1	10.4	25.9	-	19.7	Q2_VS
23.2	65.9	11.0	27.1	44.5	19.7	CT2
22.3	67.5	10.2	21.9	-	19.1	Q2_BLAST
2.3	97.7	0.0	1.2	-	2.3	KNN
