
BLAST16S_10 v35 order
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
94.3	0.0	5.7	100.0	-	92.2	Microclass
93.0	3.7	3.3	62.3	98.9	91.7	NBC50
93.8	0.0	6.2	100.0	98.8	91.7	TOP
93.7	0.0	6.3	100.0	98.7	91.6	KTOP
92.9	3.8	3.2	67.8	-	91.6	RDP50
93.1	0.8	6.1	99.3	97.8	91.1	CT1
92.9	0.0	7.1	100.0	-	90.9	BTOP
91.4	6.4	2.2	71.2	98.3	90.1	SINTAX50
91.3	4.4	4.3	92.5	-	89.6	Q2_SK
89.6	9.4	1.0	2.7	-	89.5	RDP80
89.5	9.4	1.1	4.1	98.4	89.5	NBC80
89.6	5.3	5.1	72.6	-	88.4	Q1
89.0	9.1	1.8	58.9	-	88.0	BLCA
89.3	5.0	5.7	93.8	-	87.6	Q2_VS
88.9	5.1	6.0	91.8	95.3	87.1	CT2
86.9	6.0	7.1	95.2	-	85.3	Q2_BLAST
85.3	14.2	0.5	5.5	97.0	85.3	SINTAX80
83.9	14.3	1.8	54.8	-	83.0	Metaxa2
76.2	23.1	0.7	50.7	-	75.5	KNN
