
BLAST16S_10 v4 class
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
99.0	0.0	1.0	-	-	98.8	Microclass
98.6	0.0	1.4	-	-	98.5	BTOP
98.3	0.0	1.7	-	99.3	98.1	KTOP
98.1	1.4	0.5	-	-	98.0	RDP50
98.1	0.1	1.8	-	99.0	97.9	CT1
98.1	0.0	1.9	-	99.3	97.9	TOP
98.0	1.5	0.5	-	99.3	97.9	NBC50
97.3	1.6	1.1	-	-	97.2	Q2_SK
97.2	2.0	0.8	-	99.2	97.1	SINTAX50
96.6	1.6	1.7	-	-	96.5	Q2_VS
96.3	3.1	0.6	-	-	96.2	BLCA
96.3	1.8	2.0	-	-	96.1	Q2_BLAST
96.2	1.5	2.2	-	97.8	96.1	CT2
94.8	4.9	0.3	-	98.8	94.8	NBC80
94.6	5.2	0.3	-	-	94.5	RDP80
94.4	4.7	0.9	-	-	94.3	Metaxa2
94.3	5.5	0.2	-	98.6	94.2	SINTAX80
93.2	5.7	1.1	-	-	93.2	Q1
90.4	9.3	0.3	-	-	90.3	KNN
