
BLAST16S_10 v4 family
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
81.1	13.2	5.7	45.7	-	77.8	RDP50
81.1	12.7	6.1	45.1	95.1	77.8	NBC50
83.6	0.0	16.4	100.0	-	75.8	Microclass
83.0	0.0	17.0	100.0	-	75.0	BTOP
82.3	0.0	17.7	100.0	95.5	74.8	KTOP
81.8	0.0	18.2	100.0	95.1	74.3	TOP
74.5	22.2	3.2	37.5	94.4	73.3	SINTAX50
78.2	7.7	14.0	82.5	-	73.1	Q1
78.4	4.2	17.3	93.9	92.6	71.9	CT1
71.0	27.5	1.5	11.9	91.9	70.6	NBC80
72.5	24.6	2.9	23.0	-	70.5	BLCA
70.7	27.8	1.5	7.5	-	70.4	RDP80
73.9	15.4	10.7	65.3	-	70.1	Q2_SK
68.2	18.5	13.3	70.2	-	64.1	Q2_VS
67.1	20.3	12.6	73.6	-	63.2	Q2_BLAST
63.4	35.7	0.9	6.8	89.2	63.2	SINTAX80
67.2	18.7	14.1	70.9	84.7	63.2	CT2
61.0	34.8	4.1	35.9	-	59.2	Metaxa2
43.1	56.1	0.8	29.6	-	42.4	KNN
