
BLAST16S_10 v4 phylum
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
99.9	0.0	0.1	-	99.6	99.9	TOP
99.9	0.0	0.1	-	99.6	99.9	KTOP
99.9	0.0	0.1	-	-	99.9	BTOP
99.9	0.1	0.1	-	99.6	99.9	SINTAX50
99.9	0.0	0.1	-	-	99.9	Microclass
99.8	0.1	0.0	-	99.6	99.8	NBC50
99.8	0.1	0.1	-	-	99.8	Q2_SK
99.8	0.1	0.1	-	-	99.8	RDP50
99.8	0.1	0.2	-	99.5	99.8	CT1
99.4	0.5	0.1	-	99.4	99.4	SINTAX80
99.3	0.7	0.0	-	-	99.3	RDP80
99.3	0.7	0.0	-	99.4	99.3	NBC80
99.1	0.4	0.4	-	-	99.1	Q2_VS
99.1	0.5	0.5	-	98.7	99.1	CT2
98.9	0.6	0.5	-	-	98.9	Q2_BLAST
98.8	1.2	0.1	-	-	98.8	Metaxa2
98.1	1.8	0.1	-	-	98.1	BLCA
97.4	2.5	0.0	-	-	97.4	KNN
94.3	5.7	0.1	-	-	94.3	Q1
