
BLAST16S_10 v4 species
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
39.6	55.5	4.9	6.5	33.7	19.8	SINTAX80
68.2	0.0	31.8	100.0	-	18.5	Microclass
68.8	9.6	21.6	42.6	27.0	18.3	NBC50
65.2	0.0	34.8	100.0	-	18.2	BTOP
62.6	0.0	37.4	100.0	22.9	18.0	TOP
66.0	0.0	34.0	100.0	22.6	18.0	KTOP
58.4	30.9	10.7	16.9	34.0	17.9	SINTAX50
67.2	16.4	16.3	37.2	-	17.8	RDP50
53.1	34.3	12.7	15.1	32.3	17.4	NBC80
50.0	40.1	9.9	12.6	-	17.1	RDP80
48.5	45.2	6.4	15.3	-	16.9	BLCA
49.9	43.2	6.9	12.7	-	16.8	SPINGO
38.5	29.6	31.9	38.9	-	10.6	Q2_SK
20.0	64.3	15.8	26.4	-	6.6	Q1
16.2	64.0	19.7	25.4	16.4	5.9	CT1
11.6	85.9	2.5	3.8	-	5.6	Metaxa2
0.2	99.4	0.4	1.0	0.8	0.1	CT2
0.1	99.5	0.3	0.6	-	0.1	Q2_BLAST
0.1	99.5	0.3	0.9	-	0.1	Q2_VS
0.0	100.0	0.0	0.0	-	0.0	KNN
