
WITS fl class
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
99.8	0.0	0.2	-	-	99.8	Microclass
99.8	0.0	0.2	-	99.7	99.8	TOP
99.8	0.0	0.1	-	99.8	99.8	SINTAX50
99.8	0.0	0.2	-	-	99.8	BTOP
99.8	0.0	0.1	-	-	99.8	RDP50
99.8	0.1	0.1	-	-	99.8	Q2_SK
99.8	0.0	0.2	-	99.9	99.8	KTOP
99.8	0.0	0.2	-	-	99.8	Q2_VS
99.8	0.0	0.2	-	99.9	99.8	NBC50
99.8	0.0	0.2	-	99.4	99.8	CT2
99.8	0.0	0.2	-	99.5	99.8	CT1
99.8	0.1	0.1	-	-	99.8	RDP80
99.8	0.1	0.1	-	99.8	99.8	NBC80
99.8	0.1	0.1	-	99.6	99.8	SINTAX80
99.5	0.1	0.4	-	-	99.5	Q2_BLAST
99.2	0.7	0.2	-	-	99.2	BLCA
99.1	0.8	0.1	-	-	99.1	Metaxa2
98.3	1.6	0.1	-	-	98.3	KNN
98.2	1.6	0.2	-	-	98.2	Q1
