
WITS fl family
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
98.4	0.0	1.6	-	-	98.4	Microclass
98.2	0.0	1.8	-	99.2	98.2	TOP
98.2	0.0	1.8	-	-	98.1	BTOP
98.1	0.3	1.6	-	99.3	98.1	NBC50
98.1	0.0	1.9	-	99.3	98.1	KTOP
98.1	0.4	1.5	-	-	98.1	RDP50
97.9	0.7	1.4	-	98.9	97.9	SINTAX50
97.7	0.5	1.7	-	-	97.7	Q2_SK
97.3	0.1	2.6	-	97.8	97.3	CT1
97.2	1.3	1.4	-	-	97.2	BLCA
97.2	1.7	1.1	-	99.0	97.2	NBC80
97.1	1.8	1.0	-	-	97.1	RDP80
96.3	1.7	1.9	-	-	96.3	Q1
96.3	2.9	0.8	-	98.3	96.3	SINTAX80
95.6	1.6	2.7	-	-	95.6	Q2_VS
94.6	2.3	3.1	-	94.9	94.6	CT2
92.9	3.7	3.3	-	-	92.9	Q2_BLAST
90.3	8.8	1.0	-	-	90.2	Metaxa2
83.3	16.1	0.6	-	-	83.3	KNN
