
WITS fl genus
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
90.3	0.0	9.7	100.0	-	87.4	Microclass
89.8	0.0	10.2	100.0	-	87.1	BTOP
88.6	5.1	6.3	69.0	97.5	87.0	SINTAX50
89.7	0.0	10.3	100.0	97.8	87.0	TOP
89.5	0.0	10.5	100.0	97.8	86.7	KTOP
88.6	2.6	8.9	86.9	97.8	86.4	NBC50
88.4	2.8	8.8	86.2	-	86.3	RDP50
87.6	3.9	8.5	84.5	-	85.4	Q2_SK
86.8	2.5	10.7	88.4	-	84.5	Q1
86.2	7.7	6.1	78.6	-	84.4	BLCA
86.6	1.0	12.4	93.2	91.4	84.0	CT1
83.7	11.1	5.2	65.7	97.3	82.5	NBC80
83.7	11.2	5.1	66.3	-	82.5	RDP80
81.1	15.9	3.0	45.1	96.0	80.4	SINTAX80
76.9	12.3	10.7	76.9	-	75.2	Q2_VS
74.3	14.7	11.0	72.1	80.0	72.7	CT2
71.4	16.8	11.7	72.2	-	69.9	Q2_BLAST
65.4	31.4	3.2	55.0	-	64.5	Metaxa2
47.6	50.9	1.4	27.4	-	47.3	KNN
