
WITS fl order
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
99.4	0.0	0.6	-	-	99.4	Microclass
99.3	0.0	0.7	-	99.5	99.3	TOP
99.3	0.1	0.6	-	-	99.3	RDP50
99.3	0.1	0.6	-	99.7	99.3	NBC50
99.3	0.0	0.7	-	-	99.3	BTOP
99.3	0.0	0.7	-	99.7	99.3	KTOP
99.2	0.2	0.6	-	99.5	99.2	SINTAX50
99.2	0.1	0.6	-	-	99.2	Q2_SK
99.0	0.1	0.9	-	99.1	99.0	CT1
99.0	0.2	0.8	-	-	99.0	Q2_VS
99.0	0.4	0.5	-	99.6	99.0	NBC80
99.0	0.6	0.5	-	99.2	99.0	SINTAX80
99.0	0.5	0.5	-	-	99.0	RDP80
98.7	0.4	1.0	-	98.4	98.7	CT2
98.5	0.9	0.6	-	-	98.5	BLCA
98.1	0.7	1.2	-	-	98.1	Q2_BLAST
97.7	1.6	0.7	-	-	97.7	Q1
96.8	2.8	0.4	-	-	96.8	Metaxa2
94.3	5.3	0.4	-	-	94.3	KNN
