
WITS fl phylum
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
100.0	0.0	0.0	-	99.7	100.0	CT1
100.0	0.0	0.0	-	100.0	100.0	KTOP
100.0	0.0	0.0	-	-	100.0	RDP50
100.0	0.0	0.0	-	-	100.0	Microclass
100.0	0.0	0.0	-	100.0	100.0	SINTAX80
100.0	0.0	0.0	-	99.7	100.0	TOP
100.0	0.0	0.0	-	99.8	100.0	CT2
100.0	0.0	0.0	-	-	100.0	Q2_SK
100.0	0.0	0.0	-	100.0	100.0	SINTAX50
100.0	0.0	0.0	-	-	100.0	Q2_VS
100.0	0.0	0.0	-	100.0	100.0	NBC50
100.0	0.0	0.0	-	-	100.0	BTOP
100.0	0.0	0.0	-	-	100.0	RDP80
100.0	0.0	0.0	-	100.0	100.0	NBC80
99.9	0.0	0.1	-	-	99.9	Q2_BLAST
99.9	0.1	0.0	-	-	99.9	Metaxa2
99.9	0.1	0.0	-	-	99.9	KNN
99.3	0.7	0.0	-	-	99.3	BLCA
98.4	1.6	0.0	-	-	98.4	Q1
