P(LCR)	species	genus	family	order	class	phylum	domain
100	0.9485	0.0503	0.0009	0.0002	0.0000	0.0001	0.0000
99	0.1718	0.8073	0.0114	0.0032	0.0059	0.0001	0.0004
98	0.0105	0.9416	0.0403	0.0027	0.0045	0.0000	0.0004
97	0.0018	0.9193	0.0571	0.0168	0.0044	0.0002	0.0005
96	0.0005	0.8595	0.0992	0.0350	0.0049	0.0001	0.0007
95	0.0003	0.7516	0.1785	0.0651	0.0036	0.0001	0.0006
94	0.0002	0.5134	0.3130	0.1685	0.0040	0.0002	0.0007
93	0.0001	0.3193	0.3406	0.3073	0.0321	0.0001	0.0006
92	0.0001	0.1694	0.3023	0.3398	0.1879	0.0001	0.0004
91	0.0000	0.0703	0.1919	0.3000	0.4371	0.0001	0.0006
90	0.0000	0.0208	0.0862	0.1764	0.7159	0.0002	0.0005
89	0.0000	0.0080	0.0452	0.1082	0.8382	0.0002	0.0003
88	0.0000	0.0050	0.0348	0.0973	0.8623	0.0001	0.0003
87	0.0000	0.0052	0.0367	0.1236	0.8334	0.0003	0.0008
86	0.0000	0.0057	0.0326	0.1381	0.8196	0.0025	0.0015
85	0.0000	0.0033	0.0237	0.1420	0.8125	0.0164	0.0021
84	0.0000	0.0016	0.0175	0.1155	0.8007	0.0630	0.0017
83	0.0000	0.0011	0.0243	0.0935	0.7136	0.1656	0.0019
82	0.0000	0.0006	0.0287	0.0892	0.5178	0.3594	0.0042
81	0.0000	0.0006	0.0181	0.0799	0.2530	0.6222	0.0262
80	0.0000	0.0007	0.0071	0.0550	0.1061	0.7051	0.1259

P(CR)	species	genus	family	order	class	phylum	domain
100	0.9485	0.9988	0.9997	0.9999	0.9999	1.0000	1.0000
99	0.1718	0.9790	0.9904	0.9936	0.9995	0.9996	1.0000
98	0.0105	0.9521	0.9924	0.9951	0.9996	0.9996	1.0000
97	0.0018	0.9211	0.9782	0.9949	0.9993	0.9995	1.0000
96	0.0005	0.8600	0.9592	0.9943	0.9992	0.9993	1.0000
95	0.0003	0.7519	0.9305	0.9956	0.9992	0.9994	1.0000
94	0.0002	0.5136	0.8266	0.9951	0.9991	0.9993	1.0000
93	0.0001	0.3194	0.6600	0.9673	0.9994	0.9994	1.0000
92	0.0001	0.1695	0.4718	0.8116	0.9995	0.9996	1.0000
91	0.0000	0.0704	0.2622	0.5622	0.9993	0.9994	1.0000
90	0.0000	0.0208	0.1070	0.2834	0.9993	0.9995	1.0000
89	0.0000	0.0080	0.0532	0.1614	0.9996	0.9997	1.0000
88	0.0000	0.0050	0.0399	0.1372	0.9995	0.9997	1.0000
87	0.0000	0.0053	0.0420	0.1655	0.9989	0.9992	1.0000
86	0.0000	0.0057	0.0383	0.1764	0.9960	0.9985	1.0000
85	0.0000	0.0033	0.0270	0.1690	0.9815	0.9979	1.0000
84	0.0000	0.0016	0.0191	0.1346	0.9353	0.9983	1.0000
83	0.0000	0.0011	0.0254	0.1189	0.8325	0.9981	1.0000
82	0.0000	0.0006	0.0293	0.1186	0.6363	0.9958	1.0000
81	0.0000	0.0006	0.0187	0.0986	0.3516	0.9738	1.0000
80	0.0000	0.0007	0.0079	0.0629	0.1690	0.8741	1.0000
