P(LCR)	species	genus	family	order	class	phylum	domain
100	0.2343	0.7116	0.0433	0.0068	0.0037	0.0001	0.0003
99	0.0085	0.8957	0.0695	0.0227	0.0033	0.0001	0.0003
98	0.0011	0.8054	0.1413	0.0448	0.0067	0.0001	0.0005
97	0.0004	0.7035	0.2063	0.0797	0.0092	0.0001	0.0008
96	0.0002	0.5709	0.2515	0.1198	0.0571	0.0001	0.0004
95	0.0001	0.2675	0.2676	0.2201	0.2439	0.0002	0.0005
94	0.0001	0.1112	0.1750	0.2655	0.4473	0.0006	0.0003
93	0.0000	0.0549	0.1115	0.2575	0.5749	0.0006	0.0005
92	0.0000	0.0215	0.0617	0.1958	0.7190	0.0014	0.0006
91	0.0000	0.0100	0.0386	0.1668	0.7756	0.0085	0.0005
90	0.0000	0.0042	0.0261	0.1389	0.8087	0.0214	0.0007
89	0.0000	0.0023	0.0214	0.1160	0.8205	0.0387	0.0010
88	0.0000	0.0025	0.0242	0.0870	0.8110	0.0723	0.0030
87	0.0000	0.0023	0.0316	0.0700	0.7423	0.1425	0.0113
86	0.0000	0.0018	0.0381	0.0704	0.5603	0.2859	0.0436
85	0.0000	0.0016	0.0350	0.0650	0.3586	0.4235	0.1162
84	0.0000	0.0010	0.0208	0.0467	0.2069	0.4699	0.2547
83	0.0000	0.0005	0.0083	0.0258	0.1004	0.4185	0.4466
82	0.0000	0.0003	0.0033	0.0153	0.0463	0.3192	0.6155
81	0.0000	0.0002	0.0017	0.0106	0.0254	0.2551	0.7070
80	0.0000	0.0001	0.0011	0.0074	0.0140	0.1937	0.7837

P(CR)	species	genus	family	order	class	phylum	domain
100	0.2343	0.9459	0.9892	0.9960	0.9997	0.9997	1.0000
99	0.0085	0.9041	0.9736	0.9963	0.9997	0.9997	1.0000
98	0.0011	0.8065	0.9479	0.9927	0.9993	0.9995	1.0000
97	0.0004	0.7039	0.9102	0.9899	0.9991	0.9992	1.0000
96	0.0002	0.5711	0.8226	0.9424	0.9995	0.9996	1.0000
95	0.0001	0.2677	0.5352	0.7554	0.9993	0.9995	1.0000
94	0.0001	0.1113	0.2863	0.5518	0.9991	0.9997	1.0000
93	0.0000	0.0549	0.1664	0.4239	0.9989	0.9995	1.0000
92	0.0000	0.0215	0.0833	0.2790	0.9980	0.9994	1.0000
91	0.0000	0.0100	0.0485	0.2153	0.9909	0.9995	1.0000
90	0.0000	0.0042	0.0304	0.1692	0.9779	0.9993	1.0000
89	0.0000	0.0024	0.0238	0.1398	0.9603	0.9990	1.0000
88	0.0000	0.0025	0.0267	0.1137	0.9247	0.9970	1.0000
87	0.0000	0.0023	0.0339	0.1039	0.8463	0.9887	1.0000
86	0.0000	0.0018	0.0399	0.1103	0.6705	0.9564	1.0000
85	0.0000	0.0016	0.0366	0.1017	0.4603	0.8838	1.0000
84	0.0000	0.0010	0.0218	0.0685	0.2754	0.7453	1.0000
83	0.0000	0.0005	0.0087	0.0346	0.1349	0.5534	1.0000
82	0.0000	0.0003	0.0037	0.0190	0.0654	0.3845	1.0000
81	0.0000	0.0002	0.0019	0.0125	0.0379	0.2930	1.0000
80	0.0000	0.0001	0.0012	0.0085	0.0226	0.2163	1.0000
