P(LCR)	species	genus	family	order	class	phylum	domain
100	0.9898	0.0090	0.0009	0.0002	0.0000	0.0000	0.0000
99	0.3814	0.5649	0.0425	0.0105	0.0004	0.0000	0.0004
98	0.0403	0.6495	0.2878	0.0214	0.0009	0.0000	0.0000
97	0.0089	0.3908	0.4751	0.1228	0.0010	0.0011	0.0002
96	0.0021	0.1864	0.5875	0.2207	0.0019	0.0006	0.0007
95	0.0014	0.1048	0.6084	0.2801	0.0032	0.0008	0.0013
94	0.0005	0.0588	0.6021	0.3315	0.0057	0.0008	0.0006
93	0.0003	0.0286	0.5647	0.3776	0.0283	0.0003	0.0002
92	0.0001	0.0115	0.4060	0.4186	0.1635	0.0001	0.0002
91	0.0000	0.0039	0.2500	0.4243	0.3214	0.0001	0.0002
90	0.0000	0.0019	0.1545	0.3241	0.5184	0.0004	0.0007
89	0.0000	0.0009	0.1152	0.2234	0.6594	0.0005	0.0006
88	0.0000	0.0004	0.0884	0.1588	0.7513	0.0006	0.0005
87	0.0000	0.0004	0.0712	0.1289	0.7981	0.0010	0.0004
86	0.0000	0.0004	0.0560	0.1090	0.8276	0.0065	0.0005
85	0.0000	0.0003	0.0376	0.0939	0.8362	0.0309	0.0011
84	0.0000	0.0003	0.0273	0.0818	0.7851	0.1035	0.0020
83	0.0000	0.0002	0.0276	0.0744	0.6473	0.2474	0.0031
82	0.0000	0.0001	0.0257	0.0827	0.4424	0.4421	0.0070
81	0.0000	0.0002	0.0159	0.0834	0.2349	0.6362	0.0293
80	0.0000	0.0001	0.0074	0.0591	0.1138	0.7138	0.1058

P(CR)	species	genus	family	order	class	phylum	domain
100	0.9898	0.9988	0.9998	1.0000	1.0000	1.0000	1.0000
99	0.3814	0.9463	0.9888	0.9993	0.9996	0.9996	1.0000
98	0.0403	0.6898	0.9776	0.9991	1.0000	1.0000	1.0000
97	0.0089	0.3997	0.8748	0.9976	0.9986	0.9998	1.0000
96	0.0021	0.1885	0.7760	0.9967	0.9987	0.9993	1.0000
95	0.0014	0.1062	0.7146	0.9947	0.9980	0.9987	1.0000
94	0.0005	0.0593	0.6614	0.9929	0.9987	0.9994	1.0000
93	0.0003	0.0289	0.5936	0.9711	0.9995	0.9998	1.0000
92	0.0001	0.0117	0.4177	0.8363	0.9998	0.9998	1.0000
91	0.0000	0.0040	0.2540	0.6782	0.9997	0.9998	1.0000
90	0.0000	0.0019	0.1564	0.4805	0.9989	0.9993	1.0000
89	0.0000	0.0009	0.1161	0.3395	0.9989	0.9994	1.0000
88	0.0000	0.0004	0.0889	0.2476	0.9989	0.9995	1.0000
87	0.0000	0.0004	0.0716	0.2005	0.9986	0.9996	1.0000
86	0.0000	0.0004	0.0564	0.1654	0.9930	0.9995	1.0000
85	0.0000	0.0003	0.0379	0.1318	0.9680	0.9989	1.0000
84	0.0000	0.0003	0.0276	0.1094	0.8945	0.9980	1.0000
83	0.0000	0.0002	0.0277	0.1022	0.7494	0.9969	1.0000
82	0.0000	0.0001	0.0258	0.1085	0.5509	0.9930	1.0000
81	0.0000	0.0002	0.0161	0.0996	0.3345	0.9707	1.0000
80	0.0000	0.0001	0.0075	0.0666	0.1804	0.8942	1.0000
