P(LCR)	species	genus	family	order	class	phylum	domain
100	0.8925	0.0978	0.0086	0.0010	0.0000	0.0000	0.0000
99	0.1197	0.6060	0.2419	0.0296	0.0027	0.0000	0.0002
98	0.0104	0.3098	0.5884	0.0867	0.0043	0.0001	0.0001
97	0.0019	0.1622	0.6690	0.1629	0.0028	0.0006	0.0007
96	0.0005	0.0844	0.6247	0.2787	0.0107	0.0006	0.0004
95	0.0003	0.0437	0.5210	0.3779	0.0557	0.0007	0.0006
94	0.0001	0.0173	0.3349	0.4629	0.1842	0.0002	0.0003
93	0.0000	0.0058	0.2306	0.4026	0.3606	0.0003	0.0001
92	0.0000	0.0033	0.1627	0.3350	0.4984	0.0004	0.0002
91	0.0000	0.0018	0.1083	0.2158	0.6733	0.0006	0.0003
90	0.0000	0.0007	0.0962	0.1758	0.7259	0.0011	0.0003
89	0.0000	0.0005	0.0881	0.1615	0.7463	0.0029	0.0007
88	0.0000	0.0004	0.0782	0.1435	0.7697	0.0072	0.0010
87	0.0000	0.0003	0.0646	0.1289	0.7845	0.0205	0.0012
86	0.0000	0.0003	0.0572	0.1215	0.7669	0.0516	0.0024
85	0.0000	0.0002	0.0471	0.1075	0.7061	0.1318	0.0073
84	0.0000	0.0003	0.0352	0.0984	0.5383	0.3002	0.0276
83	0.0000	0.0001	0.0202	0.0782	0.3521	0.4607	0.0887
82	0.0000	0.0001	0.0090	0.0511	0.2039	0.5394	0.1965
81	0.0000	0.0001	0.0039	0.0333	0.1050	0.5607	0.2969
80	0.0000	0.0000	0.0020	0.0201	0.0498	0.5610	0.3671

P(CR)	species	genus	family	order	class	phylum	domain
100	0.8925	0.9903	0.9990	1.0000	1.0000	1.0000	1.0000
99	0.1197	0.7256	0.9675	0.9971	0.9998	0.9998	1.0000
98	0.0104	0.3203	0.9087	0.9955	0.9998	0.9999	1.0000
97	0.0019	0.1640	0.8330	0.9959	0.9987	0.9993	1.0000
96	0.0005	0.0849	0.7096	0.9883	0.9990	0.9996	1.0000
95	0.0003	0.0441	0.5651	0.9429	0.9987	0.9994	1.0000
94	0.0001	0.0174	0.3523	0.8152	0.9994	0.9997	1.0000
93	0.0000	0.0058	0.2364	0.6390	0.9996	0.9999	1.0000
92	0.0000	0.0033	0.1660	0.5010	0.9994	0.9998	1.0000
91	0.0000	0.0018	0.1100	0.3259	0.9992	0.9997	1.0000
90	0.0000	0.0008	0.0970	0.2727	0.9986	0.9997	1.0000
89	0.0000	0.0005	0.0886	0.2501	0.9964	0.9993	1.0000
88	0.0000	0.0004	0.0786	0.2221	0.9918	0.9990	1.0000
87	0.0000	0.0003	0.0649	0.1938	0.9783	0.9988	1.0000
86	0.0000	0.0003	0.0575	0.1790	0.9459	0.9976	1.0000
85	0.0000	0.0002	0.0474	0.1549	0.8609	0.9927	1.0000
84	0.0000	0.0003	0.0355	0.1339	0.6722	0.9724	1.0000
83	0.0000	0.0001	0.0203	0.0985	0.4506	0.9113	1.0000
82	0.0000	0.0001	0.0091	0.0602	0.2641	0.8035	1.0000
81	0.0000	0.0001	0.0040	0.0373	0.1424	0.7031	1.0000
80	0.0000	0.0000	0.0020	0.0221	0.0719	0.6329	1.0000
