P(LCR)	genus	family	order	class	phylum	domain
100	0.9997	0.0003	0.0000	0.0000	0.0000	0.0000
99	0.9811	0.0142	0.0008	0.0039	0.0000	0.0000
98	0.9534	0.0457	0.0007	0.0001	0.0000	0.0000
97	0.8895	0.1083	0.0013	0.0010	0.0000	0.0000
96	0.8088	0.1866	0.0037	0.0010	0.0000	0.0000
95	0.6680	0.3066	0.0239	0.0015	0.0000	0.0000
94	0.4262	0.4715	0.1001	0.0020	0.0002	0.0000
93	0.2523	0.4936	0.2516	0.0022	0.0003	0.0000
92	0.1271	0.3774	0.4890	0.0060	0.0005	0.0000
91	0.0532	0.2005	0.7205	0.0254	0.0004	0.0000
90	0.0190	0.0902	0.8232	0.0671	0.0005	0.0000
89	0.0078	0.0502	0.8392	0.1022	0.0006	0.0000
88	0.0049	0.0374	0.8040	0.1533	0.0003	0.0000
87	0.0056	0.0374	0.6969	0.2594	0.0006	0.0000
86	0.0052	0.0355	0.5418	0.4159	0.0016	0.0000
85	0.0029	0.0283	0.3494	0.6083	0.0107	0.0004
84	0.0015	0.0197	0.2276	0.7002	0.0501	0.0009
83	0.0009	0.0232	0.1682	0.6664	0.1403	0.0010
82	0.0005	0.0309	0.1361	0.5186	0.3113	0.0026
81	0.0004	0.0213	0.1084	0.3167	0.5371	0.0161
80	0.0003	0.0102	0.0738	0.1694	0.6683	0.0780

P(CR)	genus	family	order	class	phylum	domain
100	0.9997	1.0000	1.0000	1.0000	1.0000	1.0000
99	0.9811	0.9953	0.9961	1.0000	1.0000	1.0000
98	0.9534	0.9991	0.9999	1.0000	1.0000	1.0000
97	0.8895	0.9977	0.9990	1.0000	1.0000	1.0000
96	0.8088	0.9953	0.9990	1.0000	1.0000	1.0000
95	0.6680	0.9746	0.9985	1.0000	1.0000	1.0000
94	0.4262	0.8978	0.9979	0.9998	1.0000	1.0000
93	0.2523	0.7459	0.9975	0.9997	1.0000	1.0000
92	0.1271	0.5046	0.9936	0.9995	1.0000	1.0000
91	0.0532	0.2537	0.9742	0.9996	1.0000	1.0000
90	0.0190	0.1092	0.9324	0.9995	1.0000	1.0000
89	0.0078	0.0581	0.8973	0.9994	1.0000	1.0000
88	0.0049	0.0423	0.8463	0.9997	1.0000	1.0000
87	0.0056	0.0431	0.7400	0.9994	1.0000	1.0000
86	0.0052	0.0407	0.5825	0.9984	1.0000	1.0000
85	0.0029	0.0312	0.3806	0.9889	0.9996	1.0000
84	0.0015	0.0212	0.2488	0.9490	0.9991	1.0000
83	0.0009	0.0242	0.1923	0.8588	0.9990	1.0000
82	0.0005	0.0314	0.1675	0.6861	0.9974	1.0000
81	0.0004	0.0217	0.1302	0.4468	0.9839	1.0000
80	0.0003	0.0105	0.0843	0.2537	0.9220	1.0000
