P(LCR)	genus	family	order	class	phylum	domain
100	0.9448	0.0516	0.0027	0.0009	0.0000	0.0000
99	0.8493	0.1415	0.0082	0.0008	0.0002	0.0000
98	0.7171	0.2496	0.0288	0.0039	0.0006	0.0000
97	0.5718	0.3525	0.0675	0.0076	0.0006	0.0000
96	0.4297	0.3651	0.1507	0.0537	0.0008	0.0000
95	0.2049	0.3146	0.3454	0.1346	0.0005	0.0000
94	0.0884	0.2079	0.5314	0.1715	0.0007	0.0000
93	0.0465	0.1336	0.6445	0.1746	0.0008	0.0000
92	0.0214	0.0688	0.7432	0.1640	0.0022	0.0003
91	0.0106	0.0425	0.7526	0.1833	0.0106	0.0004
90	0.0044	0.0307	0.7119	0.2277	0.0252	0.0002
89	0.0022	0.0266	0.6465	0.2825	0.0418	0.0004
88	0.0017	0.0301	0.5433	0.3445	0.0784	0.0020
87	0.0015	0.0390	0.4171	0.3815	0.1515	0.0095
86	0.0015	0.0468	0.2725	0.3627	0.2774	0.0391
85	0.0012	0.0423	0.1699	0.2975	0.3885	0.1005
84	0.0009	0.0276	0.0962	0.2187	0.4407	0.2159
83	0.0004	0.0127	0.0460	0.1324	0.4176	0.3909
82	0.0003	0.0056	0.0285	0.0829	0.3504	0.5323
81	0.0002	0.0034	0.0191	0.0551	0.2854	0.6367
80	0.0002	0.0029	0.0139	0.0381	0.2196	0.7253

P(CR)	genus	family	order	class	phylum	domain
100	0.9448	0.9964	0.9991	1.0000	1.0000	1.0000
99	0.8493	0.9908	0.9990	0.9998	1.0000	1.0000
98	0.7171	0.9667	0.9955	0.9994	1.0000	1.0000
97	0.5718	0.9243	0.9918	0.9994	1.0000	1.0000
96	0.4297	0.7947	0.9454	0.9992	1.0000	1.0000
95	0.2049	0.5195	0.8649	0.9995	1.0000	1.0000
94	0.0884	0.2964	0.8278	0.9993	1.0000	1.0000
93	0.0465	0.1801	0.8246	0.9992	1.0000	1.0000
92	0.0214	0.0902	0.8334	0.9975	0.9997	1.0000
91	0.0106	0.0532	0.8057	0.9890	0.9996	1.0000
90	0.0044	0.0350	0.7469	0.9746	0.9998	1.0000
89	0.0022	0.0288	0.6753	0.9578	0.9996	1.0000
88	0.0017	0.0318	0.5751	0.9196	0.9980	1.0000
87	0.0015	0.0405	0.4576	0.8391	0.9905	1.0000
86	0.0015	0.0483	0.3208	0.6835	0.9609	1.0000
85	0.0012	0.0435	0.2134	0.5110	0.8995	1.0000
84	0.0009	0.0285	0.1247	0.3434	0.7841	1.0000
83	0.0004	0.0131	0.0591	0.1915	0.6091	1.0000
82	0.0003	0.0059	0.0343	0.1173	0.4677	1.0000
81	0.0002	0.0036	0.0227	0.0778	0.3633	1.0000
80	0.0002	0.0031	0.0170	0.0550	0.2747	1.0000
