
# Metric Acc, RefDB BLAST16S_10 full-length genus
100	99	97	95	90	Method
99.9	91.9	67.5	47.0	10.1	BLCA
85.1	86.4	62.1	38.2	5.3	CT1
51.5	40.3	19.4	16.2	3.6	CT2
15.0	0.0	0.0	0.0	0.0	KNN
58.5	56.2	35.9	22.5	6.5	Metaxa2
48.8	36.3	16.2	13.8	2.6	Q2_BLAST
91.9	85.1	61.4	38.9	12.3	Q2_SK
51.5	40.2	19.3	16.2	4.2	Q2_VS
84.4	83.2	59.1	36.6	5.6	Q1
99.5	95.2	74.9	47.1	9.9	RDP50
99.2	94.1	75.5	56.3	16.8	RDP80
99.8	93.6	71.8	52.7	20.8	SINTAX50
98.7	83.7	51.8	39.4	17.4	SINTAX80
99.6	95.3	74.8	46.8	10.2	NBC50
99.2	93.9	75.4	56.7	16.9	NBC80
100.0	94.9	71.3	39.5	4.8	BTOP
99.9	94.7	73.0	40.0	4.6	TOP
99.9	95.1	73.0	40.7	4.8	KTOP
99.7	95.4	73.7	42.7	5.6	Microclass
